lab,age_group,d_z,n,d_z_var,method,mean_age,prop_monolingual,modal_lang1,mean_lang1_exposure,parent_education,prop_caregiver_seat,prop_preterm,prop_curr_earinfection,prop_hearing_vision,prop_cognitive_developmental,prop_female,prop_beard,prop_nae
babylabbrookes,12-15 mo,0.26802580999683756,16,0.1261224661691322,singlescreen,410.25,1,english,100,16.442307692307693,1,NA,0,0,0,0.5961538461538461,0,0
babylabbrookes,3-6 mo,0.6740790358229655,20,0.10567978183170024,singlescreen,138.88888888888889,1,english,100,16.01197461953151,1,NA,0,0,0,0.28104575163398693,0,0
babylabbrookes,6-9 mo,0.5748995814085146,15,0.13884182547839474,singlescreen,231.12280701754386,1,english,100,16.676845415425355,1,NA,0,0,0,0.5350877192982456,0,0
babylabbrookes,9-12 mo,0.3028718240553657,2,1.0114664177258281,singlescreen,360.5,1,english,100,15,1,NA,0,0,0,0.5,0,0
babylabkingswood,12-15 mo,0.42675047815008843,15,0.13636859951002214,hpp,414.0919540229885,1,english,99.77011494252874,16.202083333333334,1,NA,0,0,0,0.3793103448275862,0,0
babylabkingswood,6-9 mo,0.34997861057262625,15,0.13537475046430578,hpp,218.32692307692307,1,english,98.9423076923077,15.717147435897436,1,NA,0,0,0,0.3076923076923077,0,0
babylabkingswood,9-12 mo,-0.3865779611898852,2,1.0186803150097161,hpp,274,1,english,100,16.7,1,NA,0,0,0,0.5333333333333333,0,0
babylabkonstanz,6-9 mo,0.8414381363175815,15,0.14513363562082673,hpp,231.92631578947368,1,german,100,17.34736842105263,1,NA,0,0,0,0.5789473684210527,0,0
babylablangessex,12-15 mo,0.15786761823052184,6,0.3343717577035741,eyetracking,389,1,english,99.72727272727273,14.545454545454547,0.18181818181818182,NA,0,0,0,0.9090909090909091,0,0
babylablangessex,6-9 mo,0.6249728700373334,11,0.19069525200642504,eyetracking,229.2439024390244,1,english,100,15.062259306803593,0.04878048780487805,NA,0,0,0,0.14634146341463414,0,0
babylablangessex,9-12 mo,0.14943978282903456,5,0.40111661243459945,eyetracking,299.625,1,english,100,15.40625,0,NA,0,0,0,0.6875,0,0
babylableiden,9-12 mo,1.121666737320017,15,0.15430227116016887,hpp,324.7083333333333,1,dutch,97.45833333333333,18.243055555555557,1,NA,0,0,0,0.4166666666666667,0,0
babylablmu,12-15 mo,0.5846241588067811,21,0.09930696913167304,eyetracking,409.48214285714283,1,german,97.42857142857143,17.267857142857142,0.14285714285714285,NA,0,0,0,0.4107142857142857,0,0
babylablmu,6-9 mo,NA,1,NA,eyetracking,263,1,german,100,18,1,NA,0,0,0,1,0,0
babylablmu,9-12 mo,0.5654433094630757,16,0.12999572087838368,eyetracking,324.38461538461536,1,german,98.92307692307692,16.24466571834993,0.2564102564102564,NA,0,0,0,0.4358974358974359,0,0
babylabnijmegen,6-9 mo,0.4879403110302646,27,0.07627857173266954,hpp,234.63101604278074,1,dutch,99.70053475935829,17.299950706539597,1,NA,0,0,0,0.5775401069518716,0,0
babylabnijmegen,9-12 mo,-0.024661725073511144,22,0.09091600228049547,hpp,333.912,1,dutch,99.776,16.82943925233645,1,NA,0,0,0,0.392,0,0
babylabparisdescartes1,12-15 mo,0.5408548544438901,15,0.13820873289292535,hpp,406.1162790697674,1,french,98.45348837209302,16.36103933390755,1,NA,0,0,0,0.3488372093023256,0,0
babylabplymouth,12-15 mo,0.39995376294360035,7,0.29142725044616946,hpp,378.531914893617,1,english,100,15.085106382978722,1,NA,0,0,0,0.723404255319149,0,0
babylabplymouth,9-12 mo,0.6363593503321556,26,0.08081685791110735,hpp,317.07272727272726,1,english,99.87878787878788,14.657575757575756,1,NA,0,0,0,0.43636363636363634,0,0
