"Study","N","Mean Age (mos.)","Test Language","Method","Estimate","CI"
"Cooper & Aslin (1990)",12,1.1,"Native","Central fixation",0.72,"[0.09, 1.35]"
"Cooper & Aslin (1990)",16,0.1,"Native","Central fixation",0.72,"[0.17, 1.27]"
"Cooper & Aslin (1994)",12,1.1,"Native","Central fixation",-0.04,"[-0.61, 0.53]"
"Cooper & Aslin (1994)",20,1.1,"Native","Central fixation",0.27,"[-0.61, 1.15]"
"Cooper & Aslin (1994)",10,1.1,"Native","Central fixation",1.24,"[0.42, 2.06]"
"Cooper & Aslin (1994)",10,1.1,"Native","Central fixation",-0.28,"[-0.91, 0.35]"
"Cooper et al. (1997)",20,1.3,"Native","Central fixation",-0.36,"[-0.81, 0.09]"
"Cooper et al. (1997)",20,1.4,"Native","Central fixation",0.45,"[-0.01, 0.91]"
"Cooper et al. (1997)",23,4.1,"Native","Central fixation",0.34,"[-0.08, 0.76]"
"Fernald & Kuhl (1987)",20,4.1,"Artificial","Other",1.54,"[0.89, 2.19]"
"Fernald & Kuhl (1987)",20,4,"Artificial","Other",0,"[-0.44, 0.44]"
"Fernald & Kuhl (1987)",20,4.1,"Artificial","Other",0.8,"[0.30, 1.30]"
"Fernald (1985)",48,4,"Native","Other",0.65,"[0.34, 0.96]"
"Glenn & Cunningham (1983)",10,12.2,"Native","Other",2.56,"[1.28, 3.84]"
"Glenn & Cunningham (1983)",10,9.2,"Native","Other",2.39,"[1.17, 3.61]"
"Kaplan et al. (1995a)",77,4.1,"Native","Central fixation",0.76,"[0.30, 1.22]"
"Kaplan et al. (1995a)",26,4.1,"Native","Central fixation",0.82,"[0.38, 1.26]"
"Kaplan et al. (1995b)",30,4.1,"Native","Central fixation",0.44,"[-0.28, 1.16]"
"Kaplan et al. (1995b)",30,4.1,"Native","Central fixation",0.88,"[0.13, 1.63]"
"Kaplan et al. (1995b)",40,4,"Native","Central fixation",0.14,"[-0.48, 0.76]"
"Kaplan et al. (1995b)",40,4,"Native","Central fixation",0.36,"[-0.26, 0.98]"
"Pegg et al. (1989)",24,1.6,"Native","Central fixation",0.56,"[0.13, 0.99]"
"Pegg et al. (1989)",24,1.6,"Native","Central fixation",1.15,"[0.63, 1.67]"
"Pegg et al. (1992)",24,1.6,"Native","Central fixation",0.46,"[0.04, 0.88]"
"Pegg et al. (1992)",24,1.6,"Native","Central fixation",1.15,"[0.63, 1.67]"
"Schachner & Hannon (2011)",20,5.1,"Native","Central fixation",0.31,"[-0.14, 0.76]"
"Schachner & Hannon (2011)",20,5.1,"Native","Other",1.26,"[0.67, 1.85]"
"Singh et al. (2002)",12,5.9,"Native","HPP",-0.16,"[-0.73, 0.41]"
"Singh et al. (2002)",12,5.9,"Native","HPP",-0.3,"[-0.88, 0.28]"
"Singh et al. (2002)",12,5.9,"Native","HPP",-0.54,"[-1.15, 0.07]"
"Singh et al. (2002)",24,6.2,"Native","HPP",0.24,"[-0.17, 0.65]"
"Singh et al. (2002)",28,6.1,"Native","HPP",0.5,"[-0.25, 1.25]"
"Singh et al. (2002)",28,6.1,"Native","HPP",0.61,"[-0.15, 1.37]"
"Singh et al. (2009)",32,7.4,"Native","HPP",0.29,"[-0.41, 0.99]"
"Singh et al. (2009)",32,7.4,"Native","HPP",0.29,"[-0.41, 0.99]"
"Trainor et al. (1996)",30,5.9,"Native","HPP",2.27,"[1.59, 2.95]"
"Trainor et al. (1996)",30,5.9,"Native","HPP",1.94,"[1.33, 2.55]"
"Werker & McLeod (1989)",12,5.1,"Native","Central fixation",3.15,"[1.77, 4.53]"
"Werker & McLeod (1989)",16,4.3,"Native","Central fixation",0.66,"[0.12, 1.20]"
"Werker & McLeod (1989)",16,4.3,"Native","Central fixation",0.54,"[0.02, 1.06]"
"Werker & McLeod (1989)",16,8.2,"Native","Central fixation",1.27,"[0.61, 1.93]"
"Werker & McLeod (1989)",16,8.2,"Native","Central fixation",1.17,"[0.53, 1.81]"
"Werker & McLeod (1989)",16,4.7,"Native","Central fixation",1.15,"[0.52, 1.78]"
"Werker et al. (1994)",10,4.7,"Non-Native","Central fixation",0.62,"[-0.06, 1.30]"
"Werker et al. (1994)",10,4.7,"Non-Native","Central fixation",0.72,"[0.02, 1.42]"
"Werker et al. (1994)",10,8.6,"Non-Native","Central fixation",0.73,"[0.03, 1.43]"
"Werker et al. (1994)",10,8.6,"Non-Native","Central fixation",0.53,"[-0.13, 1.19]"
"Werker et al. (1994)",10,4.7,"Native","Central fixation",0.24,"[-0.39, 0.87]"
"Werker et al. (1994)",10,4.7,"Native","Central fixation",0.74,"[0.04, 1.44]"
"Werker et al. (1994)",10,8.6,"Native","Central fixation",0.4,"[-0.24, 1.04]"
"Werker et al. (1994)",10,8.6,"Native","Central fixation",1.23,"[0.41, 2.05]"
